instruction,input,output
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2016?,Top crop: Rice with a yield of 980.132907389882 kg/ha. Top livestock: Cattle with a count of 980.132907389882.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2019?,Top crop: Rice with a yield of 932.4421088491896 kg/ha. Top livestock: Poultry with a count of 932.4421088491896.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2025?,Top crop: Cassava with a yield of 741.6251816286464 kg/ha. Top livestock: Poultry with a count of 741.6251816286464.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2019?,Top crop: Millet with a yield of 808.1224820882201 kg/ha. Top livestock: Poultry with a count of 808.1224820882201.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2021?,Top crop: Groundnut with a yield of 482.701686417598 kg/ha. Top livestock: Goat with a count of 482.701686417598.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2019?,Top crop: Rice with a yield of 210.43155110891504 kg/ha. Top livestock: Pig with a count of 210.43155110891504.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2017?,Top crop: Groundnut with a yield of 434.5161254684698 kg/ha. Top livestock: Sheep with a count of 434.5161254684698.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2015?,Top crop: Tomato with a yield of 807.9209020296657 kg/ha. Top livestock: Poultry with a count of 807.9209020296657.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2016?,Top crop: Soybean with a yield of 313.8387098274172 kg/ha. Top livestock: Cattle with a count of 313.8387098274172.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2023?,Top crop: Rice with a yield of 406.34792519329017 kg/ha. Top livestock: Goat with a count of 406.34792519329017.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2019?,Top crop: Soybean with a yield of 620.6040996863935 kg/ha. Top livestock: Pig with a count of 620.6040996863935.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2020?,Top crop: Millet with a yield of 929.3465859633172 kg/ha. Top livestock: Poultry with a count of 929.3465859633172.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2016?,Top crop: Rice with a yield of 322.73986360587446 kg/ha. Top livestock: Pig with a count of 322.73986360587446.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2024?,Top crop: Sorghum with a yield of 600.4745982130132 kg/ha. Top livestock: Poultry with a count of 600.4745982130132.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2025?,Top crop: Cassava with a yield of 670.7331412615122 kg/ha. Top livestock: Poultry with a count of 670.7331412615122.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2020?,Top crop: Rice with a yield of 579.6391035545514 kg/ha. Top livestock: Cattle with a count of 579.6391035545514.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2020?,Top crop: Millet with a yield of 546.1744680599002 kg/ha. Top livestock: Sheep with a count of 546.1744680599002.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2016?,Top crop: Soybean with a yield of 232.0326922598693 kg/ha. Top livestock: Poultry with a count of 232.0326922598693.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2023?,Top crop: Rice with a yield of 998.2613413827148 kg/ha. Top livestock: Pig with a count of 998.2613413827148.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Samaru in the year 2022?,Top crop: Tomato with a yield of 930.5590650658388 kg/ha. Top livestock: Goat with a count of 930.5590650658388.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2024?,Top crop: Maize with a yield of 921.459119088074 kg/ha. Top livestock: Cattle with a count of 921.459119088074.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2015?,Top crop: Soybean with a yield of 957.8353932712868 kg/ha. Top livestock: Sheep with a count of 957.8353932712868.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2021?,Top crop: Cassava with a yield of 899.1417576039739 kg/ha. Top livestock: Cattle with a count of 899.1417576039739.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2019?,Top crop: Sorghum with a yield of 201.4411723262615 kg/ha. Top livestock: Cattle with a count of 201.4411723262615.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2017?,Top crop: Groundnut with a yield of 319.18279073117014 kg/ha. Top livestock: Cattle with a count of 319.18279073117014.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2022?,Top crop: Rice with a yield of 660.3247818835691 kg/ha. Top livestock: Poultry with a count of 660.3247818835691.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2017?,Top crop: Maize with a yield of 854.031962386657 kg/ha. Top livestock: Cattle with a count of 854.031962386657.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2019?,Top crop: Sorghum with a yield of 493.7466458729539 kg/ha. Top livestock: Pig with a count of 493.7466458729539.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2023?,Top crop: Soybean with a yield of 447.1766631578717 kg/ha. Top livestock: Cattle with a count of 447.1766631578717.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2022?,Top crop: Cassava with a yield of 940.344531481684 kg/ha. Top livestock: Sheep with a count of 940.344531481684.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2018?,Top crop: Sorghum with a yield of 924.8954426851512 kg/ha. Top livestock: Cattle with a count of 924.8954426851512.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2015?,Top crop: Rice with a yield of 739.2918977636606 kg/ha. Top livestock: Pig with a count of 739.2918977636606.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2018?,Top crop: Soybean with a yield of 322.2244913221039 kg/ha. Top livestock: Goat with a count of 322.2244913221039.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2023?,Top crop: Sorghum with a yield of 250.95720900661684 kg/ha. Top livestock: Poultry with a count of 250.95720900661684.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2017?,Top crop: Sorghum with a yield of 742.9053770456202 kg/ha. Top livestock: Cattle with a count of 742.9053770456202.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2024?,Top crop: Soybean with a yield of 949.2289059257258 kg/ha. Top livestock: Goat with a count of 949.2289059257258.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2017?,Top crop: Maize with a yield of 453.10749442356206 kg/ha. Top livestock: Cattle with a count of 453.10749442356206.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sabon Gari in the year 2017?,Top crop: Millet with a yield of 389.1769884555119 kg/ha. Top livestock: Cattle with a count of 389.1769884555119.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2020?,Top crop: Millet with a yield of 880.3278139061243 kg/ha. Top livestock: Goat with a count of 880.3278139061243.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2015?,Top crop: Soybean with a yield of 788.0261471984724 kg/ha. Top livestock: Pig with a count of 788.0261471984724.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2020?,Top crop: Maize with a yield of 683.7668652836719 kg/ha. Top livestock: Poultry with a count of 683.7668652836719.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2024?,Top crop: Tomato with a yield of 445.7571471498092 kg/ha. Top livestock: Pig with a count of 445.7571471498092.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2015?,Top crop: Soybean with a yield of 462.5079206791112 kg/ha. Top livestock: Cattle with a count of 462.5079206791112.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2017?,Top crop: Tomato with a yield of 296.3710961038738 kg/ha. Top livestock: Poultry with a count of 296.3710961038738.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2024?,Top crop: Cassava with a yield of 663.6722559491093 kg/ha. Top livestock: Goat with a count of 663.6722559491093.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2019?,Top crop: Soybean with a yield of 530.1901147165811 kg/ha. Top livestock: Poultry with a count of 530.1901147165811.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2021?,Top crop: Maize with a yield of 995.0425540103308 kg/ha. Top livestock: Sheep with a count of 995.0425540103308.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2016?,Top crop: Sorghum with a yield of 452.34251302726 kg/ha. Top livestock: Cattle with a count of 452.34251302726.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2017?,Top crop: Sorghum with a yield of 667.4163023920676 kg/ha. Top livestock: Goat with a count of 667.4163023920676.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2016?,Top crop: Cassava with a yield of 534.6433569068106 kg/ha. Top livestock: Poultry with a count of 534.6433569068106.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2024?,Top crop: Millet with a yield of 868.6467694072163 kg/ha. Top livestock: Cattle with a count of 868.6467694072163.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2021?,Top crop: Soybean with a yield of 749.5917294824435 kg/ha. Top livestock: Cattle with a count of 749.5917294824435.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2018?,Top crop: Sorghum with a yield of 595.3756596971546 kg/ha. Top livestock: Goat with a count of 595.3756596971546.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2021?,Top crop: Rice with a yield of 515.5237926581437 kg/ha. Top livestock: Pig with a count of 515.5237926581437.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2015?,Top crop: Groundnut with a yield of 529.0642879413822 kg/ha. Top livestock: Sheep with a count of 529.0642879413822.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2024?,Top crop: Sorghum with a yield of 737.0435441070233 kg/ha. Top livestock: Poultry with a count of 737.0435441070233.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2015?,Top crop: Maize with a yield of 597.8787893830644 kg/ha. Top livestock: Goat with a count of 597.8787893830644.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2017?,Top crop: Millet with a yield of 924.3516834454616 kg/ha. Top livestock: Sheep with a count of 924.3516834454616.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2015?,Top crop: Millet with a yield of 368.38118022368894 kg/ha. Top livestock: Goat with a count of 368.38118022368894.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2017?,Top crop: Soybean with a yield of 805.5355784167864 kg/ha. Top livestock: Cattle with a count of 805.5355784167864.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2019?,Top crop: Maize with a yield of 775.1511260931649 kg/ha. Top livestock: Sheep with a count of 775.1511260931649.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2015?,Top crop: Groundnut with a yield of 385.1005380691146 kg/ha. Top livestock: Goat with a count of 385.1005380691146.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2018?,Top crop: Cassava with a yield of 630.3236655079324 kg/ha. Top livestock: Sheep with a count of 630.3236655079324.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2016?,Top crop: Tomato with a yield of 475.2279158783487 kg/ha. Top livestock: Cattle with a count of 475.2279158783487.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2017?,Top crop: Millet with a yield of 257.31258195272375 kg/ha. Top livestock: Poultry with a count of 257.31258195272375.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2016?,Top crop: Tomato with a yield of 557.0318619310297 kg/ha. Top livestock: Cattle with a count of 557.0318619310297.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2017?,Top crop: Rice with a yield of 678.0084904502368 kg/ha. Top livestock: Goat with a count of 678.0084904502368.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2019?,Top crop: Sorghum with a yield of 762.8995472397323 kg/ha. Top livestock: Goat with a count of 762.8995472397323.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2015?,Top crop: Maize with a yield of 797.7310412324603 kg/ha. Top livestock: Cattle with a count of 797.7310412324603.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2016?,Top crop: Rice with a yield of 730.8539584441367 kg/ha. Top livestock: Poultry with a count of 730.8539584441367.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zangon Kataf in the year 2020?,Top crop: Millet with a yield of 276.2443075259017 kg/ha. Top livestock: Goat with a count of 276.2443075259017.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2015?,Top crop: Maize with a yield of 756.9345817488902 kg/ha. Top livestock: Pig with a count of 756.9345817488902.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jaba in the year 2015?,Top crop: Rice with a yield of 877.5523339236174 kg/ha. Top livestock: Pig with a count of 877.5523339236174.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2018?,Top crop: Groundnut with a yield of 500.83196960824 kg/ha. Top livestock: Poultry with a count of 500.83196960824.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2022?,Top crop: Millet with a yield of 444.3795545788141 kg/ha. Top livestock: Sheep with a count of 444.3795545788141.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2025?,Top crop: Millet with a yield of 758.4822160299219 kg/ha. Top livestock: Cattle with a count of 758.4822160299219.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Makarfi in the year 2022?,Top crop: Tomato with a yield of 985.6444129784716 kg/ha. Top livestock: Pig with a count of 985.6444129784716.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2022?,Top crop: Tomato with a yield of 649.2500282370288 kg/ha. Top livestock: Sheep with a count of 649.2500282370288.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2023?,Top crop: Millet with a yield of 653.7639947643178 kg/ha. Top livestock: Poultry with a count of 653.7639947643178.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2017?,Top crop: Tomato with a yield of 290.3414747712012 kg/ha. Top livestock: Pig with a count of 290.3414747712012.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna North in the year 2015?,Top crop: Rice with a yield of 424.3947516281133 kg/ha. Top livestock: Cattle with a count of 424.3947516281133.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2018?,Top crop: Groundnut with a yield of 770.2525060877 kg/ha. Top livestock: Goat with a count of 770.2525060877.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kafanchan in the year 2021?,Top crop: Maize with a yield of 820.8095870009181 kg/ha. Top livestock: Sheep with a count of 820.8095870009181.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2024?,Top crop: Rice with a yield of 200.8445800909036 kg/ha. Top livestock: Goat with a count of 200.8445800909036.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Soba in the year 2020?,Top crop: Tomato with a yield of 644.7363620324579 kg/ha. Top livestock: Cattle with a count of 644.7363620324579.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Shanga in the year 2019?,Top crop: Tomato with a yield of 670.0874403296458 kg/ha. Top livestock: Sheep with a count of 670.0874403296458.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2024?,Top crop: Rice with a yield of 911.7576663137544 kg/ha. Top livestock: Goat with a count of 911.7576663137544.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sokoto in the year 2018?,Top crop: Sorghum with a yield of 353.9658713875141 kg/ha. Top livestock: Poultry with a count of 353.9658713875141.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2024?,Top crop: Maize with a yield of 816.661557882338 kg/ha. Top livestock: Pig with a count of 816.661557882338.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2020?,Top crop: Sorghum with a yield of 288.2040687865401 kg/ha. Top livestock: Goat with a count of 288.2040687865401.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2015?,Top crop: Tomato with a yield of 591.4748732006967 kg/ha. Top livestock: Poultry with a count of 591.4748732006967.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kauru in the year 2025?,Top crop: Sorghum with a yield of 562.1535764393014 kg/ha. Top livestock: Poultry with a count of 562.1535764393014.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2018?,Top crop: Cassava with a yield of 457.4142538483877 kg/ha. Top livestock: Cattle with a count of 457.4142538483877.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kachia in the year 2020?,Top crop: Soybean with a yield of 234.84989412413347 kg/ha. Top livestock: Poultry with a count of 234.84989412413347.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Igabi in the year 2015?,Top crop: Sorghum with a yield of 231.25415086731343 kg/ha. Top livestock: Poultry with a count of 231.25415086731343.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2018?,Top crop: Millet with a yield of 621.7350036232725 kg/ha. Top livestock: Goat with a count of 621.7350036232725.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lau in the year 2018?,Top crop: Groundnut with a yield of 221.1034256808632 kg/ha. Top livestock: Sheep with a count of 221.1034256808632.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2017?,Top crop: Sorghum with a yield of 634.5211307670081 kg/ha. Top livestock: Goat with a count of 634.5211307670081.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2022?,Top crop: Tomato with a yield of 949.909185092494 kg/ha. Top livestock: Cattle with a count of 949.909185092494.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2019?,Top crop: Millet with a yield of 311.57206159721386 kg/ha. Top livestock: Cattle with a count of 311.57206159721386.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2020?,Top crop: Millet with a yield of 413.9077654189773 kg/ha. Top livestock: Goat with a count of 413.9077654189773.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kudan in the year 2017?,Top crop: Maize with a yield of 497.2747977108467 kg/ha. Top livestock: Goat with a count of 497.2747977108467.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Zaria in the year 2016?,Top crop: Millet with a yield of 708.1593485842502 kg/ha. Top livestock: Goat with a count of 708.1593485842502.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2020?,Top crop: Cassava with a yield of 472.0262926591829 kg/ha. Top livestock: Cattle with a count of 472.0262926591829.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaura in the year 2020?,Top crop: Groundnut with a yield of 251.7068846623336 kg/ha. Top livestock: Pig with a count of 251.7068846623336.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Chikun in the year 2023?,Top crop: Groundnut with a yield of 997.9421172265947 kg/ha. Top livestock: Pig with a count of 997.9421172265947.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2022?,Top crop: Cassava with a yield of 412.6879217384964 kg/ha. Top livestock: Cattle with a count of 412.6879217384964.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Lere in the year 2017?,Top crop: Millet with a yield of 924.9367943243784 kg/ha. Top livestock: Goat with a count of 924.9367943243784.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Sanga in the year 2018?,Top crop: Millet with a yield of 325.0236225408164 kg/ha. Top livestock: Goat with a count of 325.0236225408164.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Jemaa in the year 2020?,Top crop: Cassava with a yield of 500.5962234434154 kg/ha. Top livestock: Cattle with a count of 500.5962234434154.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Kaduna South in the year 2021?,Top crop: Millet with a yield of 748.4038570940991 kg/ha. Top livestock: Sheep with a count of 748.4038570940991.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2019?,Top crop: Cassava with a yield of 393.1204220148693 kg/ha. Top livestock: Pig with a count of 393.1204220148693.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Birnin Gwari in the year 2020?,Top crop: Groundnut with a yield of 268.9388649118563 kg/ha. Top livestock: Cattle with a count of 268.9388649118563.
Provide the top crop and livestock for the LGA in the specified year based on available agricultural data.,What is the top crop and livestock for Giwa in the year 2025?,Top crop: Rice with a yield of 324.4003432640243 kg/ha. Top livestock: Cattle with a count of 324.4003432640243.
